2025-05-07 13:13:15,834 [ERROR] 🚀 Бот запущен.
2025-05-07 20:54:17,474 [ERROR] 🚀 Бот запущен.
2025-05-07 21:06:25,585 [ERROR] 🚀 Бот запущен.
2025-05-07 21:08:42,910 [ERROR] 🚀 Бот запущен.
2025-05-07 21:22:59,371 [ERROR] 🚀 Бот запущен.
2025-05-08 10:19:44,380 [ERROR] 🚀 Бот запущен.
2025-05-08 10:19:44,381 [INFO] 🚀 Бот запущен.
2025-05-09 12:09:27,680 [INFO] 🚀 Бот запущен.
2025-05-09 12:09:27,681 [INFO] 🚀 Бот запущен.
2025-05-09 15:30:13,878 [INFO] 🚀 Бот запущен.
2025-05-09 22:11:23,392 [INFO] 🚀 Бот запущен.
2025-05-09 22:11:26,613 [ERROR] Неверный объем: 0.1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:11:59,489 [INFO] 🚀 Бот запущен.
2025-05-09 22:12:02,097 [ERROR] Неверный объем: 1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:12:21,824 [INFO] 🚀 Бот запущен.
2025-05-09 22:12:24,489 [ERROR] Неверный объем: 1.0 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:12:51,869 [INFO] 🚀 Бот запущен.
2025-05-09 22:12:54,463 [ERROR] Неверный объем: 0.1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:13:24,714 [INFO] 🚀 Бот запущен.
2025-05-09 22:13:27,440 [ERROR] Неверный объем: 0.1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:14:33,775 [INFO] 🚀 Бот запущен.
2025-05-09 22:14:34,188 [ERROR] Неверный объем: 0.1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:14:57,871 [INFO] 🚀 Бот запущен.
2025-05-09 22:14:58,177 [ERROR] Неверный объем: 0.1 (min=0.01, max=500.0, step=0.01)
2025-05-09 22:18:41,190 [INFO] 🚀 Бот запущен.
2025-05-09 22:18:41,569 [INFO] Сделка открыта: BUY EURUSD по цене 1.12541
2025-05-12 19:37:59,769 [INFO] 🚀 Бот запущен.
2025-05-12 19:38:03,941 [INFO] Сделка открыта: BUY EURUSD по цене 1.1076
2025-05-12 19:40:53,316 [INFO] 🚀 Бот запущен.
2025-05-14 17:24:33,289 [INFO] 🚀 Бот запущен.
2025-05-14 17:37:51,483 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:38:01,484 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:38:11,485 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:38:21,486 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:38:31,487 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:38:41,487 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:38:51,488 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:39:01,489 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:39:11,489 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:39:21,490 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:39:31,491 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:39:41,492 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:39:51,494 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:40:01,495 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:40:11,496 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:40:21,496 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:40:31,497 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:40:41,498 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:40:51,498 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:41:01,500 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:41:11,501 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:41:21,502 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:41:31,502 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:41:41,503 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:41:51,504 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:42:01,505 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:42:11,505 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:42:21,506 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:42:31,506 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:42:41,507 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:42:51,508 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:43:01,509 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:43:11,510 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:43:21,511 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:43:31,511 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:43:41,512 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:43:51,513 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:44:01,514 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:44:11,514 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:44:21,515 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:44:31,516 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:44:41,516 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:44:51,517 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:45:01,518 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:45:11,518 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:45:21,519 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:45:31,520 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:45:41,520 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:45:51,522 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:46:01,522 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:46:11,523 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:46:21,524 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:46:31,525 [INFO] 🔍 Получен сигнал: buy, Текущая позиция: buy
2025-05-14 17:46:41,529 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:46:51,531 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:47:01,533 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:47:11,535 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:47:21,537 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:47:31,544 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:47:41,548 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:47:51,550 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:48:01,858 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:48:12,116 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:48:22,382 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:48:32,617 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
2025-05-14 17:48:42,867 [INFO] 🔍 Получен сигнал: None, Текущая позиция: None
